symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,122.0,6,1,0,0,3,1,0,94.5,155.9,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,70.0,5400.0,38,43,13207.129353233831
2,122.0,6,1,0,1,2,2,0,96.0,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0
0,145.0,7,1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0
0,122.0,7,1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0
0,122.0,7,1,0,1,3,2,0,102.0,191.7,70.6,47.8,3950,5,5,326,5,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0
1,104.0,8,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1890,3,2,91,1,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0
1,104.0,8,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1900,3,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0
1,104.0,8,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1905,3,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0
1,113.0,8,1,0,0,3,1,0,93.1,166.8,64.2,54.1,1945,3,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0
1,113.0,8,1,0,0,3,1,0,93.1,166.8,64.2,54.1,1950,3,2,91,1,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0
3,150.0,8,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,10945.0
3,150.0,8,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,11845.0
3,150.0,8,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2385,6,6,70,2,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,13645.0
3,150.0,8,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2500,6,6,80,5,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,16,23,15645.0
1,129.0,8,1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0
0,115.0,8,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0
1,129.0,8,1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0
0,115.0,8,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0
0,115.0,8,1,0,0,2,1,0,98.8,177.8,66.5,55.5,2425,3,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0
0,118.0,8,1,0,0,3,2,0,104.9,175.0,66.1,54.4,2670,3,2,140,5,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0
0,122.0,8,0,0,0,3,2,0,104.9,175.0,66.1,54.4,2700,3,2,134,3,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0
-1,93.0,9,0,1,0,3,2,0,110.0,190.9,70.3,56.5,3515,3,1,183,3,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0
-1,93.0,9,0,1,0,4,2,0,110.0,190.9,70.3,58.7,3750,3,1,183,3,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0
0,93.0,9,0,1,1,1,2,0,106.7,187.5,70.3,54.9,3495,3,1,183,3,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0
-1,93.0,9,0,1,0,3,2,0,115.6,202.6,71.7,56.3,3770,3,1,183,3,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0
-1,122.0,9,1,0,0,3,2,0,115.6,202.6,71.7,56.5,3740,5,0,234,5,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0
3,142.0,9,1,0,1,0,2,0,96.6,180.3,70.5,50.8,3685,5,0,234,5,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0
0,122.0,9,1,0,0,3,2,0,120.9,208.1,71.7,56.7,3900,5,0,308,5,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0
1,122.0,9,1,0,1,1,2,0,112.0,199.2,72.0,55.4,3715,5,0,304,5,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0
1,122.0,10,1,1,1,2,2,0,102.7,178.4,68.0,54.8,2910,3,2,140,5,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0
2,161.0,11,1,0,1,2,1,0,93.7,157.3,64.4,50.8,1918,3,2,92,1,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0
2,161.0,11,1,0,1,2,1,0,93.7,157.3,64.4,50.8,1944,3,2,92,1,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0
2,161.0,11,1,0,1,2,1,0,93.7,157.3,64.4,50.8,2004,3,2,92,1,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0
1,161.0,11,1,1,1,2,1,0,93.0,157.3,63.8,50.8,2145,3,2,98,6,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0
3,153.0,11,1,1,1,2,1,0,96.3,173.0,65.4,49.4,2370,3,2,110,6,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0
3,153.0,11,1,0,1,2,1,0,96.3,173.0,65.4,49.4,2328,3,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0
3,122.0,11,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2833,3,2,156,6,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0
3,122.0,11,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2921,3,2,156,6,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0
3,122.0,11,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2926,3,2,156,6,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0
1,125.0,11,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2365,3,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0
1,125.0,11,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2405,3,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0
1,125.0,11,1,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0
-1,137.0,11,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0
1,128.0,12,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1889,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0
1,128.0,12,0,0,1,3,1,0,94.5,165.3,63.8,54.5,2017,3,2,103,3,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0
1,128.0,12,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1918,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0
1,122.0,12,1,0,0,3,1,0,94.5,165.3,63.8,54.5,1938,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0
1,103.0,12,1,0,0,4,1,0,94.5,170.2,63.8,53.5,2024,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0
1,128.0,12,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1951,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0
1,128.0,12,1,0,1,2,1,0,94.5,165.6,63.8,53.3,2028,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0
1,122.0,12,1,0,0,3,1,0,94.5,165.3,63.8,54.5,1971,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0
1,103.0,12,1,0,0,4,1,0,94.5,170.2,63.8,53.5,2037,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0
2,168.0,12,1,0,1,1,1,0,95.1,162.4,63.8,53.3,2008,3,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0
0,106.0,12,1,0,0,2,1,0,97.2,173.4,65.2,54.7,2324,3,2,120,1,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0
0,106.0,12,1,0,0,3,1,0,97.2,173.4,65.2,54.7,2302,3,2,120,1,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0
0,128.0,12,1,0,0,3,1,0,100.4,181.7,66.5,55.1,3095,5,3,181,5,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0
0,108.0,12,1,0,0,4,1,0,100.4,184.6,66.5,56.1,3296,5,3,181,5,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0
0,108.0,12,1,0,0,3,1,0,100.4,184.6,66.5,55.1,3060,5,3,181,5,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0
3,194.0,12,1,0,1,2,2,0,91.3,170.7,67.9,49.7,3071,5,3,181,5,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0
3,194.0,12,1,1,1,2,2,0,91.3,170.7,67.9,49.7,3139,5,3,181,5,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0
1,231.0,12,1,0,1,2,2,0,99.2,178.5,67.9,49.7,3139,5,3,181,5,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0
0,161.0,13,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3020,2,2,120,5,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0
0,161.0,13,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3197,2,2,152,3,3.7,3.52,21.0,95.0,4150.0,28,33,13200.0
0,122.0,13,1,0,0,4,2,0,114.2,198.9,68.4,58.7,3230,2,2,120,5,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0
0,122.0,13,0,1,0,4,2,0,114.2,198.9,68.4,58.7,3430,2,2,152,3,3.7,3.52,21.0,95.0,4150.0,25,25,13860.0
0,161.0,13,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,2.19,8.4,95.0,5000.0,19,24,15580.0
0,161.0,13,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,95.0,4150.0,28,33,16900.0
0,122.0,13,1,0,0,4,2,0,114.2,198.9,68.4,56.7,3285,2,2,120,5,3.46,2.19,8.4,95.0,5000.0,19,24,16695.0
0,122.0,13,0,1,0,4,2,0,114.2,198.9,68.4,58.7,3485,2,2,152,3,3.7,3.52,21.0,95.0,4150.0,25,25,17075.0
0,161.0,13,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0
0,161.0,13,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,95.0,4150.0,28,33,17950.0
0,161.0,13,1,1,0,3,2,0,108.0,186.7,68.3,56.0,3130,2,2,134,5,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0
1,119.0,14,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1918,3,2,90,1,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0
1,119.0,14,1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,6,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0
1,154.0,14,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0
1,154.0,14,1,0,0,3,1,0,93.7,167.3,63.8,50.8,1989,3,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0
1,154.0,14,1,0,0,3,1,0,93.7,167.3,63.8,50.8,2191,3,2,98,1,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0
-1,74.0,14,1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0
3,122.0,14,1,1,1,2,2,0,95.9,173.2,66.3,50.2,2818,3,2,156,6,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0
3,186.0,15,1,0,1,2,2,0,94.5,168.9,68.3,50.2,2778,3,2,151,5,3.94,3.11,9.5,143.0,5500.0,19,27,22018.0
3,122.0,15,1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0
3,122.0,15,1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0
3,122.0,15,1,0,1,0,2,1,89.5,168.9,65.0,51.6,2800,4,3,194,5,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0
1,122.0,15,1,0,1,2,2,0,98.4,175.7,72.3,50.5,3366,1,0,203,5,3.94,3.11,10.0,288.0,5750.0,17,28,13207.129353233831
0,122.0,16,1,0,0,4,1,0,96.1,181.5,66.5,55.2,2579,3,2,132,5,3.46,3.9,8.7,104.25615763546799,5125.369458128079,23,31,9295.0
2,122.0,16,1,0,1,2,1,0,96.1,176.8,66.6,50.5,2460,3,2,132,5,3.46,3.9,8.7,104.25615763546799,5125.369458128079,23,31,9895.0
3,150.0,17,1,0,1,2,1,0,99.1,186.6,66.5,56.1,2658,3,2,121,5,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0
2,104.0,17,1,0,0,3,1,0,99.1,186.6,66.5,56.1,2695,3,2,121,5,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0
3,150.0,17,1,0,1,2,1,0,99.1,186.6,66.5,56.1,2707,3,2,121,5,2.54,2.07,9.3,110.0,5250.0,21,28,15040.0
2,104.0,17,1,0,0,3,1,0,99.1,186.6,66.5,56.1,2758,3,2,121,5,3.54,3.07,9.3,110.0,5250.0,21,28,15510.0
3,150.0,17,1,1,1,2,1,0,99.1,186.6,66.5,56.1,2808,0,2,121,5,3.54,3.07,9.0,160.0,5500.0,19,26,18150.0
2,104.0,17,1,1,0,3,1,0,99.1,186.6,66.5,56.1,2847,0,2,121,5,3.54,3.07,9.0,160.0,5500.0,19,26,18620.0
2,83.0,18,1,0,1,2,1,0,93.7,156.9,63.4,53.7,2050,4,2,97,1,3.62,2.36,9.0,69.0,4900.0,31,36,5118.0
2,83.0,18,1,0,1,2,1,0,93.7,157.9,63.6,53.7,2120,4,2,108,1,3.62,2.64,8.7,73.0,4400.0,26,31,7053.0
2,83.0,18,1,0,1,2,0,0,93.3,157.3,63.8,55.7,2240,4,2,108,1,3.62,2.64,8.7,73.0,4400.0,26,31,7603.0
0,102.0,18,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2145,4,2,108,1,3.62,2.64,9.5,82.0,4800.0,32,37,7126.0
0,102.0,18,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2190,4,2,108,1,3.62,2.64,9.5,82.0,4400.0,28,33,7775.0
0,102.0,18,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2340,4,2,108,5,3.62,2.64,9.0,94.0,5200.0,26,32,9960.0
0,102.0,18,1,0,0,3,0,0,97.0,172.0,65.4,54.3,2385,4,2,108,1,3.62,2.64,9.0,82.0,4800.0,24,25,9233.0
0,102.0,18,1,1,0,3,0,0,97.0,172.0,65.4,54.3,2510,4,2,108,5,3.62,2.64,7.7,111.0,4800.0,24,29,11259.0
0,89.0,18,1,0,0,4,1,0,97.0,173.5,65.4,53.0,2290,4,2,108,1,3.62,2.64,9.0,82.0,4800.0,28,32,7463.0
0,89.0,18,1,0,0,4,1,0,97.0,173.5,65.4,53.0,2455,4,2,108,5,3.62,2.64,9.0,94.0,5200.0,25,31,10198.0
0,85.0,18,1,0,0,4,0,0,96.9,173.6,65.4,54.9,2420,4,2,108,1,3.62,2.64,9.0,82.0,4800.0,23,29,8013.0
0,85.0,18,1,1,0,4,0,0,96.9,173.6,65.4,54.9,2650,4,2,108,5,3.62,2.64,7.7,111.0,4800.0,23,23,11694.0
1,87.0,19,1,0,1,2,1,0,95.7,158.7,63.6,54.5,1985,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,35,39,5348.0
1,87.0,19,1,0,1,2,1,0,95.7,158.7,63.6,54.5,2040,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,38,6338.0
1,74.0,19,1,0,0,2,1,0,95.7,158.7,63.6,54.5,2015,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,38,6488.0
0,77.0,19,1,0,0,4,1,0,95.7,169.7,63.6,59.1,2280,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,37,6918.0
0,81.0,19,1,0,0,4,0,0,95.7,169.7,63.6,59.1,2290,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,27,32,7898.0
0,91.0,19,1,0,0,4,0,0,95.7,169.7,63.6,59.1,3110,3,2,92,1,3.05,3.03,9.0,62.0,4800.0,27,32,8778.0
0,91.0,19,1,0,0,3,1,0,95.7,166.3,64.4,53.0,2081,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,30,37,6938.0
0,91.0,19,1,0,0,2,1,0,95.7,166.3,64.4,52.8,2109,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,30,37,7198.0
0,91.0,19,0,0,0,3,1,0,95.7,166.3,64.4,53.0,2275,3,2,110,3,3.27,3.35,22.5,56.0,4500.0,34,36,7898.0
0,91.0,19,0,0,0,2,1,0,95.7,166.3,64.4,52.8,2275,3,2,110,3,3.27,3.35,22.5,56.0,4500.0,38,47,7788.0
0,91.0,19,1,0,0,3,1,0,95.7,166.3,64.4,53.0,2094,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,38,47,7738.0
0,91.0,19,1,0,0,2,1,0,95.7,166.3,64.4,52.8,2122,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,28,34,8358.0
0,91.0,19,1,0,0,3,1,0,95.7,166.3,64.4,52.8,2140,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,28,34,9258.0
1,168.0,19,1,0,1,3,2,0,94.5,168.7,64.0,52.6,2169,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,29,34,8058.0
1,168.0,19,1,0,1,2,2,0,94.5,168.7,64.0,52.6,2204,3,2,98,1,3.19,3.03,9.0,70.0,4800.0,29,34,8238.0
1,168.0,19,1,0,1,3,2,0,94.5,168.7,64.0,52.6,2265,0,2,98,5,3.24,3.08,9.4,112.0,6600.0,26,29,9298.0
1,168.0,19,1,0,1,2,2,0,94.5,168.7,64.0,52.6,2300,0,2,98,5,3.24,3.08,9.4,112.0,6600.0,26,29,9538.0
2,134.0,19,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2540,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,8449.0
2,134.0,19,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2536,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,9639.0
2,134.0,19,1,0,1,2,2,0,98.4,176.2,65.6,52.0,2551,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,9989.0
2,134.0,19,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2679,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,11199.0
2,134.0,19,1,0,1,2,2,0,98.4,176.2,65.6,52.0,2714,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,11549.0
2,134.0,19,1,0,1,0,2,0,98.4,176.2,65.6,53.0,2975,3,2,146,5,3.62,3.5,9.3,116.0,4800.0,24,30,17669.0
-1,65.0,19,1,0,0,3,1,0,102.4,175.6,66.5,54.9,2326,3,2,122,5,3.31,3.54,8.7,92.0,4200.0,29,34,8948.0
-1,65.0,19,0,1,0,3,1,0,102.4,175.6,66.5,54.9,2480,3,2,110,3,3.27,3.35,22.5,73.0,4500.0,30,33,10698.0
-1,65.0,19,1,0,0,2,1,0,102.4,175.6,66.5,53.9,2414,3,2,122,5,3.31,3.54,8.7,92.0,4200.0,27,32,9988.0
-1,65.0,19,1,0,0,3,1,0,102.4,175.6,66.5,54.9,2414,3,2,122,5,3.31,3.54,8.7,92.0,4200.0,27,32,10898.0
-1,65.0,19,1,0,0,2,1,0,102.4,175.6,66.5,53.9,2458,3,2,122,5,3.31,3.54,8.7,92.0,4200.0,27,32,11248.0
3,197.0,19,1,0,1,2,2,0,102.9,183.5,67.7,52.0,2976,0,3,171,5,3.27,3.35,9.3,161.0,5200.0,20,24,16558.0
